Medium polymer binding to different valencies ,,,,Slide used ,,TL-VI-99-3,,,,,,,,,,,,,,,
Polymer Length (DP) ,190.4457364,,,PMT,,,,,,,,,,,,,,,,,
Labeling efficiency ,0.4082,,,,,,,,,,,,,,,,,,,,
,,,,Block 1,,,Block 3,,,Block 10,,,Block 11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
µM PRINTED POLYMER,GLYCAN,VALENCY, GLYCAN SPACING ON POLYMER,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,,,,
,,,,0.108,8.978,2306,0.092,7.579,1733,0.096,7.988,2332,0.091,7.522,1196,,,,,,
,,,,0.100,8.271,1947,0.100,8.246,1447,0.097,8.050,1557,0.097,8.062,1232,,,,,,
,,,,0.101,8.357,1901,0.093,7.694,1584,0.099,8.209,1452,0.089,7.361,872,,,,,,
,,,,0.096,7.912,1810,0.090,7.476,1431,0.094,7.763,2021,0.095,7.901,1053,,,,,,
,,70,2.71,0.085,5.964,2524,0.073,5.119,934,0.077,5.436,1656,0.088,6.173,1040,,,,,,
,,,,0.080,5.612,2015,0.071,5.027,1038,0.083,5.818,1616,0.087,6.120,1180,,,,,,
,,,,0.080,5.651,1724,0.071,5.027,1659,0.084,5.922,2022,0.087,6.100,1049,,,,,,
,,,,0.087,6.141,1701,0.078,5.505,1578,0.080,5.651,1418,0.081,5.719,1157,,,,,,
,,,,0.082,5.778,1815,0.072,5.045,1613,0.089,6.235,1974,0.082,5.797,1279,,,,,,
,,,,0.079,5.530,1809,0.073,5.155,1540,0.090,6.350,1861,0.091,6.371,1186,,,,,,
,,64,2.98,0.066,4.242,1262,0.058,3.729,1019,0.063,4.026,1188,0.071,4.508,850,,,,,,
,,,,0.061,3.884,1238,0.063,4.035,906,0.064,4.088,1573,0.070,4.460,787,,,,,,
,,,,0.061,3.884,1250,0.058,3.712,1253,0.065,4.177,1394,0.070,4.498,953,,,,,,
,,,,0.066,4.223,1393,0.058,3.679,1040,0.066,4.230,1977,0.066,4.239,984,,,,,,
,,,,0.062,3.964,1638,0.063,3.999,1205,0.071,4.565,1480,0.068,4.363,1023,,,,,,
,,,,0.055,3.507,1555,0.057,3.671,1066,0.068,4.354,1572,0.069,4.443,1207,,,,,,
,,51,3.73,0.091,4.623,187,0.090,4.600,229,0.080,4.100,206,0.095,4.853,193,,,,,,
,,,,0.083,4.249,381,0.082,4.178,211,0.076,3.881,146,0.081,4.150,158,,,,,,
,,,,0.089,4.570,277,0.083,4.249,408,0.081,4.157,639,0.081,4.150,116,,,,,,
,,,,0.084,4.270,360,0.082,4.178,353,0.088,4.509,392,0.081,4.143,202,,,,,,
,,,,0.085,4.334,390,0.083,4.221,528,0.088,4.509,582,0.087,4.418,493,,,,,,
,,,,0.088,4.504,507,0.077,3.933,403,0.091,4.661,260,0.086,4.384,954,,,,,,
10,α2-3 SiaLac,111,1.72,0.063,6.924,3031,0.066,7.351,1356,0.043,4.808,3060,0.043,4.709,2028,,,,,,
,,,,0.063,6.990,2372,0.062,6.808,1488,0.043,4.808,3293,0.043,4.808,1638,,,,,,
,,,,0.062,6.859,2378,0.066,7.302,1138,0.044,4.857,2965,0.039,4.308,1864,,,,,,
,,,,0.069,7.679,2495,0.061,6.711,1231,0.040,4.416,4900,0.042,4.644,1366,,,,,,
,,,,0.072,7.974,1839,0.056,6.148,1097,0.042,4.660,3858,0.037,4.048,1907,,,,,,
,,,,0.063,7.007,1243,0.058,6.366,1438,0.039,4.339,1836,0.037,4.109,890,,,,,,
,,93,2.05,0.113,10.465,1768,0.111,10.299,949,0.081,7.531,2459,0.084,7.771,1241,,,,,,
,,,,0.111,10.258,1169,0.111,10.299,1690,0.085,7.887,1809,0.095,8.799,1271,,,,,,
,,,,0.112,10.382,1109,0.110,10.203,1081,0.089,8.248,1688,0.084,7.836,1288,,,,,,
,,,,0.102,9.496,2052,0.110,10.189,922,0.087,8.096,3987,0.081,7.527,1193,,,,,,
,,,,0.113,10.437,1447,0.110,10.203,787,0.086,7.986,4025,0.078,7.205,1135,,,,,,
,,,,0.114,10.533,1379,0.101,9.349,820,0.083,7.720,2353,0.076,7.038,914,,,,,,
,,83,2.30,0.140,11.589,1436,0.142,11.773,927,0.125,10.312,2387,0.118,9.776,955,,,,,,
,,,,0.140,11.601,905,0.141,11.675,755,0.112,9.303,1232,0.107,8.872,1055,,,,,,
,,,,0.138,11.429,1137,0.140,11.601,1046,0.114,9.464,1343,0.127,10.485,994,,,,,,
,,,,0.138,11.466,2364,0.141,11.650,862,0.101,8.361,2919,0.108,8.973,654,,,,,,
,,,,0.138,11.454,1177,0.141,11.687,821,0.105,8.690,3055,0.104,8.630,1124,,,,,,
,,,,0.134,11.070,1331,0.143,11.847,1048,0.113,9.357,1978,0.106,8.811,650,,,,,,
,,70,2.71,0.151,10.653,1640,0.144,10.101,1126,0.127,8.903,1670,0.143,10.062,967,,,,,,
,,,,0.156,10.998,1050,0.156,10.977,1391,0.112,7.900,1474,0.131,9.204,921,,,,,,
,,,,0.154,10.810,1578,0.154,10.810,769,0.143,10.053,1689,0.128,8.985,1084,,,,,,
,,,,0.143,10.082,1921,0.156,10.988,751,0.131,9.186,2644,0.128,8.976,1196,,,,,,
,,,,0.147,10.345,1253,0.145,10.238,1036,0.133,9.332,3056,0.131,9.204,1537,,,,,,
,,,,0.138,9.689,1614,0.147,10.336,1495,0.133,9.360,2201,0.132,9.259,608,,,,,,
,,64,2.98,0.111,7.108,1385,0.104,6.669,1107,0.090,5.783,2073,0.093,5.955,960,,,,,,
,,,,0.110,7.051,1039,0.102,6.518,1099,0.108,6.899,2753,0.098,6.270,895,,,,,,
,,,,0.103,6.616,1496,0.102,6.518,952,0.099,6.337,1433,0.098,6.270,1276,,,,,,
,,,,0.104,6.660,1720,0.102,6.500,1423,0.098,6.287,2646,0.092,5.877,1460,,,,,,
,,,,0.105,6.687,1212,0.095,6.104,738,0.099,6.362,2926,0.098,6.287,1624,,,,,,
,,,,0.106,6.793,1636,0.102,6.553,958,0.102,6.544,2100,0.091,5.807,584,,,,,,
,,51,3.73,0.129,6.593,450,0.162,8.271,333,0.107,5.440,-128,0.119,6.102,321,,,,,,
,,,,0.128,6.536,383,0.132,6.721,379,0.117,5.969,-66,0.112,5.701,-4,,,,,,
,,,,0.131,6.685,169,0.131,6.685,-20,0.116,5.936,-25,0.120,6.121,261,,,,,,
,,,,0.130,6.636,89,0.130,6.614,-71,0.120,6.121,77,0.110,5.620,-9,,,,,,
,,,,0.132,6.756,15,0.132,6.728,-35,0.118,6.035,245,0.119,6.082,-76,,,,,,
,,,,0.135,6.912,54,0.132,6.763,-137,0.121,6.161,-100,0.122,6.254,-188,,,,,,
1,Lac,109,1.75,0.028,3.082,430,0.029,3.120,434,0.022,2.413,255,0.026,2.866,401,,,,,,
,,,,0.026,2.797,510,0.026,2.814,469,0.021,2.316,264,0.025,2.769,447,,,,,,
,,,,0.028,3.082,440,0.026,2.831,450,0.020,2.194,456,0.025,2.704,370,,,,,,
