Medium polymer binding to different valencies ,,,,Slide used ,,,,,,,,,
Polymer Length (DP) ,190.4457364,,,PMT,,,,,,,,,
Labeling efficiency ,0.4082,,,,,,,,,,,,
,,,,Block 2,,,Block 10,,,Block 11,,,
,,,,,,,,,,,,,
µM PRINTED POLYMER,GLYCAN,VALENCY, GLYCAN SPACING ON POLYMER,POLYMER DENSITY,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER DENSITY,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER DENSITY,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,
,,,,0.089,7.522,-390,0.103,8.755,-47,0.086,8.414,-183,
,,,,0.089,7.534,-229,0.102,8.649,-57,0.084,7.298,-109,
,,,,0.089,7.534,-280,0.112,9.444,-103,0.086,7.144,-375,
,,,,0.084,7.122,-195,0.104,8.813,48,0.090,7.243,-361,
,,,,0.083,7.045,-118,0.112,9.482,492,0.091,7.593,-336,
10,Lac,109,1.75,0.136,14.814,-914,0.163,17.813,-185,0.134,7.722,-1026,
,,,,0.122,13.364,-990,0.164,17.845,592*,0.130,14.611,-865,
,,,,0.131,14.254,-1158,0.153,16.691,-48,0.118,14.172,-946,
,,,,0.133,14.557,-602,0.164,17.910,1156*,0.119,12.901,721,
,,,,0.134,14.663,2408*,0.152,16.615,721,0.119,12.967,582,
,,,,0.125,13.690,629,0.152,16.585,332,0.119,13.020,43,
,,95,2.01,0.126,11.959,-354,0.158,14.945,-383,0.123,12.994,-722,
,,,,0.120,11.298,-620,0.157,14.860,998*,0.121,11.666,-774,
,,,,0.110,10.361,-876,0.157,14.818,456,0.104,11.396,-331,
,,,,0.115,10.868,-335,0.145,13.729,202,0.115,9.818,522,
,,,,0.118,11.151,1133*,0.145,13.755,510,0.116,10.891,190,
,,,,0.111,10.511,485,0.145,13.742,110,0.112,10.929,-378,
,,85,2.25,0.128,10.832,-388,0.156,13.174,-27,0.115,10.603,-231,
,,,,0.120,10.188,-729,0.156,13.224,198,0.104,9.726,-344,
,,,,0.130,10.973,-386,0.145,12.263,-55,0.110,8.797,-382,
,,,,0.120,10.133,-71,0.146,12.334,340,0.103,9.314,-93,
,,,,0.120,10.155,1602*,0.145,12.275,369,0.104,8.748,189,
,,,,0.110,9.265,274,0.136,11.518,-429,0.110,8.787,-245,
