



,,,,,,,,,,,,Block 10,,,,,,,,,,,,,,,,,Block 11,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
,,,,,,,6358,68439,9649925,135,14306.625,4.784,674.507,2988,,,,,,,,,,5761,62013,8743821,135,14306.625,4.335,611.173,2717
,,,,,,,6575,70775,9979279,135,14306.625,4.947,697.529,3464,,,,,,,,,,5855,63025,8886491,140,15386,4.096,577.570,3384
,,,,,,,6971,75038,10580312,130,13266.5,5.656,797.521,2699,,,,,,,,,,6095,65608,9250753,135,14306.625,4.586,646.606,2856
1,α2-3 SiaLac,150,0.34,51,0.34,0.063,408,6476,330286,145,16504.625,0.392,20.012,258,,,1,α2-3 SiaLac,150,0.34,51,0.34,0.063,400,6349,323810,135,14306.625,0.444,22.634,499
,,,,,,,382,6063,309238,140,15386,0.394,20.099,238,,,,,,,,,,387,6143,313286,140,15386,0.399,20.362,320
,,,,,,,403,6397,326238,135,14306.625,0.447,22.803,268,,,,,,,,,,404,6413,327048,140,15386,0.417,21.256,237
,,,,,,,413,6556,334333,140,15386,0.426,21.730,107,,,,,,,,,,396,6286,320571,140,15386,0.409,20.835,141
,,,,,,,459,7286,371571,140,15386,0.474,24.150,26,,,,,,,,,,475,7540,384524,140,15386,0.490,24.992,71
,,,,,,,460,7302,372381,135,14306.625,0.510,26.029,16,,,,,,,,,,484,7683,391810,140,15386,0.499,25.465,33
,,,0.58,87,0.58,0.063,306,4857,422571,150,17662.5,0.275,23.925,227,,,,,,0.58,87,0.58,0.063,333,5286,459857,130,13266.5,0.398,34.663,273
,,,,,,,312,4952,430857,140,15386,0.322,28.003,138,,,,,,,,,,366,5810,505429,130,13266.5,0.438,38.098,235
,,,,,,,330,5238,455714,135,14306.625,0.366,31.853,157,,,,,,,,,,314,4984,433619,135,14306.625,0.348,30.309,229
,,,,,,,335,5317,462619,130,13266.5,0.401,34.871,35,,,,,,,,,,322,5111,444667,135,14306.625,0.357,31.081,115
,,,,,,,312,4952,430857,140,15386,0.322,28.003,2,,,,,,,,,,408,6476,563429,125,12265.625,0.528,45.936,139
,,,,,,,365,5794,504048,130,13266.5,0.437,37.994,-16,,,,,,,,,,425,6746,586905,135,14306.625,0.472,41.023,73
,,200,0.37,74,0.37,0.275,2272,8262,611375,140,15386,0.537,39.736,42,,,,,200,0.37,74,0.37,0.275,2317,8425,623484,140,15386,0.548,40.523,101
,,,,,,,2258,8211,607607,140,15386,0.534,39.491,60,,,,,,,,,,2288,8320,615680,140,15386,0.541,40.016,52
,,,,,,,2296,8349,617833,140,15386,0.543,40.156,11,,,,,,,,,,2325,8455,625636,140,15386,0.549,40.663,-50
,,,,,,,2285,8309,614873,140,15386,0.540,39.963,-26,,,,,,,,,,2268,8247,610298,140,15386,0.536,39.666,-87
,,,,,,,2343,8520,630480,145,16504.625,0.516,38.200,-44,,,,,,,,,,2409,8760,648240,140,15386,0.569,42.132,-134
,,,,,,,2518,9156,677571,135,14306.625,0.640,47.361,-90,,,,,,,,,,2430,8836,653891,140,15386,0.574,42.499,-148
,,,0.52,104,0.52,0.275,1860,6764,703418,140,15386,0.440,45.718,-39,,,,,,0.52,104,0.52,0.275,1905,6927,720436,135,14306.625,0.484,50.357,-15
,,,,,,,1887,6862,713629,140,15386,0.446,46.382,-40,,,,,,,,,,1935,7036,731782,135,14306.625,0.492,51.150,-50
,,,,,,,1983,7211,749935,135,14306.625,0.504,52.419,-49,,,,,,,,,,1946,7076,735942,140,15386,0.460,47.832,-84
,,,,,,,1924,6996,727622,140,15386,0.455,47.291,-44,,,,,,,,,,1931,7022,730269,140,15386,0.456,47.463,-109
,,,,,,,2029,7378,767331,135,14306.625,0.516,53.635,-56,,,,,,,,,,2096,7622,792669,135,14306.625,0.533,55.406,-93
,,,,,,,2084,7578,788131,140,15386,0.493,51.224,-60,,,,,,,,,,2134,7760,807040,140,15386,0.504,52.453,-109
,,300,0.36,108,0.36,0.093,669,7201,777740,140,15386,0.468,50.549,168,,,,,300,0.36,108,0.36,0.093,695,7481,807966,135,14306.625,0.523,56.475,236
,,,,,,,683,7352,794015,135,14306.625,0.514,55.500,76,,,,,,,,,,679,7309,789365,140,15386,0.475,51.304,6
,,,,,,,682,7341,792853,140,15386,0.477,51.531,56,,,,,,,,,,687,7395,798665,140,15386,0.481,51.909,109
,,,,,,,690,7427,802153,135,14306.625,0.519,56.069,84,,,,,,,,,,702,7557,816103,135,14306.625,0.528,57.044,66
,,,,,,,734,7901,853305,135,14306.625,0.552,59.644,59,,,,,,,,,,723,7783,840517,140,15386,0.506,54.629,43
,,,,,,,742,7987,862605,135,14306.625,0.558,60.294,28,,,,,,,,,,743,7998,863767,135,14306.625,0.559,60.375,24
,,,0.46,138,0.46,0.093,838,9020,1244822,140,15386,0.586,80.906,275,,,,,,0.46,138,0.46,0.093,832,8956,1235910,140,15386,0.582,80.327,298
,,,,,,,852,9171,1265619,135,14306.625,0.641,88.464,244,,,,,,,,,,849,9139,1261163,140,15386,0.594,81.968,215
,,,,,,,861,9268,1278988,135,14306.625,0.648,89.398,155,,,,,,,,,,853,9182,1267104,140,15386,0.597,82.354,236
,,,,,,,760,8181,1128956,140,15386,0.532,73.376,191,,,,,,,,,,853,9182,1267104,140,15386,0.597,82.354,224
,,,,,,,867,9333,1287901,140,15386,0.607,83.706,135,,,,,,,,,,880,9473,1307212,135,14306.625,0.662,91.371,204
,,,,,,,889,9569,1320581,140,15386,0.622,85.830,93,,,,,,,,,,921,9914,1368116,135,14306.625,0.693,95.628,146
5,α2-3 SiaLac,150,0.34,51,0.34,0.063,1974,31333,1598000,135,14306.625,2.190,111.697,-58,,,5,α2-3 SiaLac,150,0.34,51,0.34,0.063,1941,30810,1571286,145,16504.625,1.867,95.203,-135
,,,,,,,2002,31778,1620667,135,14306.625,2.221,113.281,-98,,,,,,,,,,1906,30254,1542952,140,15386,1.966,100.283,-150
,,,,,,,2022,32095,1636857,140,15386,2.086,106.386,-115,,,,,,,,,,1967,31222,1592333,140,15386,2.029,103.492,-158
,,,,,,,2065,32778,1671667,140,15386,2.130,108.649,-123,,,,,,,,,,1980,31429,1602857,140,15386,2.043,104.176,-144
,,,,,,,2308,36635,1868381,135,14306.625,2.561,130.596,-99,,,,,,,,,,2115,33571,1712143,140,15386,2.182,111.279,-163
,,,,,,,2281,36206,1846524,135,14306.625,2.531,129.068,-108,,,,,,,,,,2352,37333,1904000,140,15386,2.426,123.749,-164
,,,0.58,87,0.58,0.063,1353,21476,1868429,135,14306.625,1.501,130.599,-70,,,,,,0.58,87,0.58,0.063,1295,20556,1788333,140,15386,1.336,116.231,-108
,,,,,,,1414,22444,1952667,135,14306.625,1.569,136.487,-75,,,,,,,,,,1290,20476,1781429,140,15386,1.331,115.782,-86
,,,,,,,1421,22556,1962333,135,14306.625,1.577,137.163,-88,,,,,,,,,,1303,20683,1799381,140,15386,1.344,116.949,-115
,,,,,,,1399,22206,1931952,140,15386,1.443,125.566,-73,,,,,,,,,,1335,21190,1843571,140,15386,1.377,119.821,-96
,,,,,,,1495,23730,2064524,135,14306.625,1.659,144.305,-89,,,,,,,,,,1365,21667,1885000,140,15386,1.408,122.514,-88
,,,,,,,1519,24111,2097667,140,15386,1.567,136.336,-100,,,,,,,,,,1445,22937,1995476,140,15386,1.491,129.694,-115
,,200,0.37,74,0.37,0.275,8910,32400,2397600,140,15386,2.106,155.830,-33,,,,,200,0.37,74,0.37,0.275,8973,32629,2414553,140,15386,2.121,156.932,-133
,,,,,,,8970,32618,2413745,140,15386,2.120,156.879,-49,,,,,,,,,,8695,31618,2339745,145,16504.625,1.916,141.763,-128
,,,,,,,9393,34156,2527571,140,15386,2.220,164.277,-56,,,,,,,,,,9184,33396,2471331,140,15386,2.171,160.622,-122
,,,,,,,9186,33404,2471869,140,15386,2.171,160.657,-50,,,,,,,,,,9180,33382,2470255,140,15386,2.170,160.552,-144
,,,,,,,10266,37331,2762487,140,15386,2.426,179.546,-50,,,,,,,,,,9663,35138,2600225,140,15386,2.284,168.999,-162
,,,,,,,9922,36080,2669920,135,14306.625,2.522,186.621,-62,,,,,,,,,,9915,36055,2668036,140,15386,2.343,173.407,-116
,,,0.52,104,0.52,0.275,8113,29502,3068189,140,15386,1.917,199.414,-24,,,,,,0.52,104,0.52,0.275,7859,28578,2972131,140,15386,1.857,193.171,-107
,,,,,,,8302,30189,3139665,195,29849.625,1.011,105.183,-38,,,,,,,,,,7916,28785,2993687,140,15386,1.871,194.572,-135
,,,,,,,8382,30480,3169920,140,15386,1.981,206.026,-36,,,,,,,,,,7942,28880,3003520,140,15386,1.877,195.211,-149
