PrintPol,GlycType,DP,Valency,GlycSpace,PolSpace,GlycDen,MVF,Status,Experiment,Self-model,Cross-model
10.0,2-3 SiaLac,200.0,74.0,0.37,4.315,319.32,2.8999123136665417,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,200.0,74.0,0.37,4.236,313.444,3.38178430596853,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,200.0,74.0,0.37,4.276,316.452,2.0477039171817526,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,200.0,74.0,0.37,4.445,328.904,1.03677668863863,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,200.0,74.0,0.37,4.423,327.33,2.0346439373109706,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,200.0,104.0,0.52,3.283,341.411,2.551177320004335,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,200.0,104.0,0.52,1.709,177.69,5.498339805278857,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,200.0,104.0,0.52,2.362,245.678,4.180268481508316,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,200.0,104.0,0.52,1.501,156.057,3.223181273509039,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,200.0,104.0,0.52,1.955,203.272,2.0907946003384628,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,200.0,104.0,0.52,3.423,355.961,2.1491118409039194,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,300.0,108.0,0.36,2.253,243.362,3.6036850453234277,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,300.0,108.0,0.36,3.524,380.638,2.624540902379689,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,300.0,108.0,0.36,3.499,377.926,2.6910030005874166,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,300.0,108.0,0.36,3.52,380.145,1.178497678517408,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,300.0,108.0,0.36,3.954,427.038,0.990544167029632,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,300.0,108.0,0.36,4.51,487.066,1.4084333540013059,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,300.0,138.0,0.46,3.661,505.229,1.5735438781225939,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,300.0,138.0,0.46,3.671,506.581,1.9799400293339071,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,300.0,138.0,0.46,3.737,515.753,2.125048230451398,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,300.0,138.0,0.46,3.807,525.311,1.1060114865289323,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,300.0,138.0,0.46,4.131,570.109,0.8279118554522029,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,300.0,138.0,0.46,4.792,661.345,1.058449069698871,Gained in MDCK,Binder,Binder,Non-binder
1.0,2-6 SiaLac,150.0,44.0,0.29,0.423,18.4,5.978260869565218,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,150.0,44.0,0.29,0.429,18.669,3.8030960415662327,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,150.0,44.0,0.29,0.456,19.836,3.680177455132083,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,150.0,44.0,0.29,0.438,19.073,4.194410947412573,Conserved,Binder,Binder,Binder
