PrintPol,GlycType,Valency,GlycSpace,PolSpace,GlycDen,MVF,DP,Status,Experiment,Self-model,Cross-model
10.0,2-3 SiaLac,83.0,2.3,0.125,10.324,71.67764432390547,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,83.0,2.3,0.132,10.963,119.8577031834352,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,83.0,2.3,0.125,10.311,139.94762874599942,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,70.0,2.71,0.148,10.424,78.18495778971604,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,70.0,2.71,0.084,5.902,133.17519484920365,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,70.0,2.71,0.143,10.048,35.42993630573248,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,70.0,2.71,0.126,8.872,64.81064021641119,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,70.0,2.71,0.164,11.507,61.52776570783002,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,70.0,2.71,0.132,9.311,50.69272903017936,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,64.0,2.98,0.109,6.979,62.18655967903711,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,64.0,2.98,0.106,6.784,38.91509433962264,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,64.0,2.98,0.119,7.583,96.79546353685876,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,64.0,2.98,0.107,6.873,34.19176487705514,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,64.0,2.98,0.119,7.592,18.70389884088514,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,51.0,3.73,0.132,6.749,56.30463772410728,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,51.0,3.73,0.131,6.692,11.506276150627615,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,51.0,3.73,0.131,6.664,26.710684273709486,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,51.0,3.73,0.132,6.756,34.63587921847247,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,51.0,3.73,0.128,6.551,55.71668447565257,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,51.0,3.73,0.133,6.777,59.170724509369926,190.0,Others,Non-binder,Binder,Binder
1.0,2-6 SiaLac,105.0,1.81,0.03,3.114,327.23185613359027,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,105.0,1.81,0.026,2.765,324.4122965641953,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,105.0,1.81,0.031,3.277,323.4665852914251,190.0,Conserved,Binder,Binder,Binder
